id,latitude,longitude
296853793,19.0606458,72.8585698
296853816,19.0651727,72.8621953
296857791,19.0710084,72.8723
296857806,19.0624565,72.8595787
296857831,19.0604963,72.8586336
296857847,19.0527187,72.8474797
296864887,19.1242368,72.8480951
296871088,19.1264346,72.8552927
317156842,18.9260131,72.8318338
317914115,19.1891863,72.9760281
317914122,19.1966367,72.9772099
340363219,19.1869709,72.9769394
340363223,19.1877086,72.9770949
340363238,19.1919184,72.9773466
344582458,19.1389629,72.870946
346604059,19.0452409,72.8285688
346604267,19.0468425,72.8282211
346604594,19.0469537,72.8282843
346604601,19.0473427,72.8302069
346611218,19.0519149,72.8239982
346611229,19.0506258,72.8216319
346611230,19.0499676,72.8215773
346611239,19.0462389,72.8196829
346611554,19.0500289,72.8212982
346613538,19.0427907,72.8185617
346619785,19.0511389,72.8278588
346620827,19.0537922,72.8307258
346621512,19.0541089,72.8284513
346633203,19.0559724,72.8340668
346633210,19.0552824,72.8308284
346633397,19.054694,72.8260536
346644270,19.0516737,72.8292753
346644272,19.0508173,72.8297972
346648380,19.0518772,72.8232473
347106948,19.0547186,72.8254147
347106967,19.0596365,72.8250961
347116059,19.0598013,72.8241079
347149014,19.0564811,72.8367832
347176149,19.0636709,72.8350108
347192306,19.0655699,72.8298388
347194070,19.0678656,72.8334812
347195204,19.0727609,72.8270236
349131628,19.200192,72.8613134
349131637,19.2089872,72.8679097
349131639,19.2120872,72.8684972
352470432,19.2084162,72.9993571
355842984,18.9498324,72.8345926
355843002,18.9467645,72.8337151
355844527,18.9482461,72.8346687
356168263,18.9467049,72.8269876
356168287,18.9453718,72.8278265
356178506,18.9578419,72.8189266
357798621,19.068325,72.8391098
357798628,19.0702541,72.8392746
357798629,19.0704168,72.8390064
357798681,19.0701405,72.8389742
414595016,19.1971889,72.9773489
414595021,19.2031535,72.9780585
414595023,19.2050663,72.9775003
414595039,19.1978028,72.971688
414595048,19.1971268,72.9781116
414595050,19.2036152,72.9771302
414595057,19.1968955,72.9714462
414595061,19.1978268,72.9678579
414595062,19.1977315,72.9676836
414605518,19.1920523,72.9690045
414605519,19.1914782,72.9679068
414605526,19.1866231,72.9606688
414721608,19.1945892,72.9779
414721863,19.1958094,72.9734705
414725067,19.1948431,72.9725983
414725069,19.1955216,72.973256
414726599,19.198927,72.9797025
414726601,19.1989261,72.9817489
414726607,19.1989718,72.9816638
414727656,19.2027442,72.978825
414729698,19.2327716,72.9763632
414730361,19.2177883,72.9708654
414731201,19.2530268,72.9721775
414731700,19.217263,72.9783899
415300895,19.0669329,72.9960971
415303820,19.0663037,72.9974201
415303836,19.0673011,72.9969427
443526084,19.2148396,72.9581648
443799807,19.2009546,72.9491683
443799834,19.1917648,72.9494132
444753540,18.9982518,72.8270408
456025866,18.9641537,72.8074612
456044841,18.9528258,72.802457
456044859,18.9566732,72.799889
456145174,18.9939389,72.8148355
456188455,18.975365,72.8090748
456241820,18.9641897,72.8076649
456268055,18.9646754,72.8075989
457068137,19.1479866,72.9995516
457089549,19.1429576,72.9949835
457089619,19.1611269,72.9891823
457089623,19.1647291,72.9890687
457089682,19.1606198,72.9985741
457089700,19.1611307,72.9890428
457089759,19.1546436,72.9873225
457459038,19.0169256,72.8124323
457459050,19.0126242,72.8166194
458874747,18.9483073,72.797693
458881254,18.9505609,72.795892
458966453,18.9495081,72.795133
459024366,18.9503244,72.795733
459024380,18.9503454,72.7959787
459148572,18.9934603,72.8147938
459161705,18.9493511,72.7955261
459482449,18.8997422,72.8136285
459482553,18.9074112,72.8082728
459496093,18.9554476,72.8049414
459499511,18.9527166,72.8025871
459600709,18.9550158,72.7985654
460941437,18.9636827,72.8098524
460941612,18.9660971,72.813212
461490081,18.9423307,72.8261215
461822669,18.9779406,72.8113467
461822720,18.9764323,72.80907
461853949,18.9761047,72.8089418
461853953,18.9763778,72.8086577
461853964,18.9764871,72.8087429
461853966,18.9766826,72.8091227
462261958,19.0152581,72.8194756
463610546,18.9637748,72.8100484
463610593,18.9636375,72.8099909
467125643,18.9436286,72.7945345
467125646,18.9458964,72.7955727
467131642,18.9436931,72.7941934
468268130,18.9408988,72.7939143
469941496,19.1037175,72.852086
469957298,19.103667,72.8539708
470146183,19.0964588,72.8531244
471043373,18.9980286,72.8175763
471043380,18.9986118,72.8174661
471066613,19.005138,72.821035
471520228,18.9984268,72.821886
471550921,19.0715408,72.8352553
471550922,19.071489,72.836109
471554800,19.0699352,72.8372739
471556497,19.0685299,72.8300628
471566319,19.0653929,72.8343413
471581476,19.0573638,72.8297641
471591707,19.0593691,72.8341618
471941460,19.0020853,72.8295947
471941466,18.9981802,72.8275473
471942852,19.0091918,72.8334559
471955208,18.9562041,72.8139259
471972441,18.9584392,72.8170377
